Municipio,Classificacao,Sexo,StatusNotificacao,Quantidade,DataEncerramento_Nula,DataObito_Nula
ARACRUZ,Suspeito,F,Em Aberto,1652,1652,1652
ARACRUZ,Suspeito,F,Encerrado,344,0,344
ARACRUZ,Suspeito,I,Em Aberto,1,1,1
ARACRUZ,Suspeito,M,Em Aberto,1611,1611,1610
ARACRUZ,Suspeito,M,Encerrado,383,0,383
ARACRUZ,Síndrome Gripal não Especificada,F,Em Aberto,8,8,8
ARACRUZ,Síndrome Gripal não Especificada,F,Encerrado,298,0,298
ARACRUZ,Síndrome Gripal não Especificada,M,Em Aberto,5,5,5
ARACRUZ,Síndrome Gripal não Especificada,M,Encerrado,276,0,276
ATILIO VIVACQUA,Confirmados,F,Em Aberto,9,9,9
ATILIO VIVACQUA,Confirmados,F,Encerrado,2028,0,2010
ATILIO VIVACQUA,Confirmados,I,Encerrado,1,0,1
ATILIO VIVACQUA,Confirmados,M,Em Aberto,2,2,2
ATILIO VIVACQUA,Confirmados,M,Encerrado,1543,0,1518
ATILIO VIVACQUA,Descartados,F,Em Aberto,18,18,18
ATILIO VIVACQUA,Descartados,F,Encerrado,5682,0,5665
ATILIO VIVACQUA,Descartados,M,Em Aberto,11,11,11
ATILIO VIVACQUA,Descartados,M,Encerrado,3968,0,3955
ATILIO VIVACQUA,Suspeito,F,Em Aberto,4,4,4
ATILIO VIVACQUA,Suspeito,F,Encerrado,1,0,1
ATILIO VIVACQUA,Suspeito,M,Em Aberto,4,4,4
ATILIO VIVACQUA,Suspeito,M,Encerrado,1,0,0
ATILIO VIVACQUA,Síndrome Gripal não Especificada,F,Encerrado,42,0,41
ATILIO VIVACQUA,Síndrome Gripal não Especificada,M,Em Aberto,1,1,1
ATILIO VIVACQUA,Síndrome Gripal não Especificada,M,Encerrado,40,0,40
BAIXO GUANDU,Confirmados,F,Em Aberto,1,1,1
BAIXO GUANDU,Confirmados,F,Encerrado,6621,0,6564
BAIXO GUANDU,Confirmados,M,Em Aberto,1,1,1
BAIXO GUANDU,Confirmados,M,Encerrado,5140,0,5081
BAIXO GUANDU,Descartados,F,Em Aberto,2,2,2
BAIXO GUANDU,Descartados,F,Encerrado,14003,0,13985
BAIXO GUANDU,Descartados,I,Encerrado,5,0,5
BAIXO GUANDU,Descartados,M,Encerrado,12983,0,12967
BAIXO GUANDU,Suspeito,F,Encerrado,74,0,74
BAIXO GUANDU,Suspeito,M,Encerrado,46,0,46
BAIXO GUANDU,Síndrome Gripal não Especificada,F,Encerrado,244,0,244
BAIXO GUANDU,Síndrome Gripal não Especificada,M,Encerrado,208,0,208
BARRA DE SAO FRANCISCO,Confirmados,F,Em Aberto,375,375,375
BARRA DE SAO FRANCISCO,Confirmados,F,Encerrado,7288,0,7147
BARRA DE SAO FRANCISCO,Confirmados,I,Encerrado,3,0,3
BARRA DE SAO FRANCISCO,Confirmados,M,Em Aberto,229,229,229
BARRA DE SAO FRANCISCO,Confirmados,M,Encerrado,5836,0,5694
BARRA DE SAO FRANCISCO,Descartados,F,Em Aberto,451,451,451
